Cal_yr_BP,TSI
-6735,1361.26
-6725,1361.36
-6715,1361.41
-6705,1361.29
-6695,1361.11
-6685,1360.98
-6675,1360.95
-6665,1360.94
-6655,1360.89
-6645,1360.88
-6635,1360.94
-6625,1361.01
-6615,1361.05
-6605,1361.03
-6595,1360.95
-6585,1360.92
-6575,1360.95
-6565,1360.98
-6555,1361.04
-6545,1361.09
-6535,1361.08
-6525,1361.08
-6515,1361.12
-6505,1361.15
-6495,1361.2
-6485,1361.16
-6475,1361.01
-6465,1360.88
-6455,1360.79
-6445,1360.7
-6435,1360.61
-6425,1360.59
-6415,1360.69
-6405,1360.78
-6395,1360.76
-6385,1360.72
-6375,1360.71
-6365,1360.72
-6355,1360.75
-6345,1360.83
-6335,1360.92
-6325,1360.98
-6315,1361.11
-6305,1361.32
-6295,1361.52
-6285,1361.58
-6275,1361.54
-6265,1361.48
-6255,1361.39
-6245,1361.25
-6235,1361.11
-6225,1361.06
-6215,1361.08
-6205,1361.13
-6195,1361.1
-6185,1361.04
-6175,1361.06
-6165,1361.11
-6155,1361.1
-6145,1361.11
-6135,1361.16
-6125,1361.28
-6115,1361.39
-6105,1361.29
-6095,1361.12
-6085,1361.04
-6075,1361.07
-6065,1361.09
-6055,1361.05
-6045,1361.09
-6035,1361.17
-6025,1361.16
-6015,1361.01
-6005,1360.88
-5995,1360.79
-5985,1360.68
-5975,1360.65
-5965,1360.76
-5955,1360.92
-5945,1361.09
-5935,1361.14
-5925,1361
-5915,1360.84
-5905,1360.77
-5895,1360.72
-5885,1360.73
-5875,1360.86
-5865,1361
-5855,1361.05
-5845,1361.03
-5835,1361.01
-5825,1361.04
-5815,1361.03
-5805,1361.01
-5795,1361
-5785,1361.02
-5775,1361.06
-5765,1361.12
-5755,1361.11
-5745,1360.96
-5735,1360.76
-5725,1360.65
-5715,1360.6
-5705,1360.67
-5695,1360.92
-5685,1361.13
-5675,1360.99
-5665,1360.86
-5655,1360.83
-5645,1360.77
-5635,1360.65
-5625,1360.54
-5615,1360.49
-5605,1360.6
-5595,1360.77
-5585,1360.86
-5575,1360.83
-5565,1360.8
-5555,1360.85
-5545,1360.87
-5535,1360.87
-5525,1360.87
-5515,1360.88
-5505,1360.95
-5495,1360.99
-5485,1360.82
-5475,1360.59
-5465,1360.53
-5455,1360.63
-5445,1360.85
-5435,1361.05
-5425,1361
-5415,1360.89
-5405,1360.87
-5395,1360.86
-5385,1360.84
-5375,1360.86
-5365,1360.9
-5355,1361.01
-5345,1361.1
-5335,1361.01
-5325,1360.85
-5315,1360.67
-5305,1360.56
-5295,1360.55
-5285,1360.67
-5275,1360.81
-5265,1360.92
-5255,1360.93
-5245,1360.86
-5235,1360.81
-5225,1360.76
-5215,1360.68
-5205,1360.61
-5195,1360.61
-5185,1360.76
-5175,1361.05
-5165,1361.2
-5155,1361.15
-5145,1361.15
-5135,1361.22
-5125,1361.29
-5115,1361.25
-5105,1361.23
-5095,1361.22
-5085,1361.19
-5075,1361.12
-5065,1361.05
-5055,1361
-5045,1360.96
-5035,1360.95
-5025,1360.98
-5015,1360.97
-5005,1360.9
-4995,1360.84
-4985,1360.88
-4975,1360.96
-4965,1360.94
-4955,1360.84
-4945,1360.76
-4935,1360.79
-4925,1360.85
-4915,1360.91
-4905,1360.95
-4895,1360.98
-4885,1361.05
-4875,1361.12
-4865,1361.23
