BP,SU
-54,1.8
-53,0.76
-52,0.46
-51,0.06
-50,-0.11
-49,1.06
-48,0.03
-47,-0.84
-46,-0.89
-45,-0.8
-44,-0.74
-43,-0.36
-42,-0.34
-41,-0.16
-40,-0.54
-39,-0.28
-38,-0.8
-37,-0.86
-36,-0.81
-35,-0.64
-34,-0.52
-33,-0.33
-32,-0.15
-31,-0.19
-30,0.23
-29,1.17
-28,1.11
-27,0.79
-26,0.62
-25,0.77
-24,0.93
-23,0.4
-22,-0.04
-21,-0.03
-20,0.57
-19,1.45
-18,1.68
-17,1.21
-16,1.44
-15,1.35
-14,1.21
-13,1.42
-12,1.12
-11,1.4
-10,1.23
-9,0.89
-8,0.95
-7,1.55
-6,1.25
-5,1.51
-4,1.09
-3,0.81
-2,0.97
-1,0.87
0,0.78
1,1.14
2,1.82
3,1.39
4,1.3
5,0.71
6,1.01
7,0.9
8,1.1
9,1.44
10,3.22
11,1.16
12,0.88
13,1.36
14,1
15,0.84
16,1.06
17,0.62
18,0.64
19,0.52
20,0.65
21,1.04
22,0.45
23,0.31
24,0.25
25,-0.01
26,-0.52
27,-0.39
28,-0.5
29,-0.53
30,-0.12
31,-0.07
32,-0.36
33,-0.33
34,-0.65
35,-0.3
36,-0.35
37,-0.22
38,-0.44
39,-0.33
40,-0.34
41,-0.07
42,-0.33
43,-0.5
44,-0.6
45,-0.63
46,-0.42
47,-0.59
48,-0.19
49,-0.1
50,-0.49
51,-0.66
52,-0.61
53,-0.2
54,-0.01
55,-0.04
56,-0.19
57,-0.34
58,-0.54
59,0
60,-0.04
61,-0.05
62,0.14
63,-0.04
64,-0.08
65,0.02
66,0.37
67,0.37
68,0.63
69,0.5
70,0.8
71,0.89
72,0.54
73,0.84
74,0.59
75,0.47
76,0.12
77,0.82
78,-0.86
79,0.69
80,0.21
81,1.02
82,0.68
83,0.21
84,0.18
85,0.09
86,0.1
87,0.42
88,0.16
89,0.52
90,0.09
91,0.1
92,0.17
93,0.63
94,0.36
95,-0.02
96,0.04
97,0.12
98,0.19
99,0.3
100,0.69
101,0.7
102,0.9
103,0.3
104,0.83
105,0.56
106,0.1
107,0.51
108,0.54
109,0.43
110,0.9
111,0.71
112,0.09
113,0.71
114,0.63
115,-0.69
116,-0.4
117,-0.23
118,-0.26
119,-0.47
120,-0.51
121,-0.49
122,-0.24
123,-0.43
124,-0.35
125,-0.6
126,-0.21
127,-0.6
128,-0.14
129,0.33
130,0.05
131,-0.01
132,0.27
133,0.18
134,0.49
135,0.35
136,0.37
137,-0.07
138,-0.09
139,-0.28
140,0.08
141,0.55
142,0.45
143,0.65
144,0.65
145,-0.07
146,0.46
147,0.7
148,0.45
149,0.62
150,1.04
151,0.74
152,0.95
153,0.85
154,0.5
155,1.18
156,1.13
157,1.4
158,1.39
159,1.1
160,0.96
161,0.89
162,1.65
163,1.37
164,1.6
165,0.94
166,0.94
167,0.74
168,1.44
169,0.39
170,0.85
171,1.12
172,0.99
173,0.79
174,1.01
175,0.62
176,1.47
177,1.1
178,1.28
179,1.06
180,0.85
181,0.95
182,1.03
183,1.31
184,1.38
185,1.66
186,1.79
187,1.79
188,1.36
189,0.93
190,0.53
191,0.88
192,1.01
193,1.31
194,0.16
195,1.34
196,1.09
197,0.96
198,0.4
199,0.76
200,0.91
201,0.35
202,0.82
203,0.35
204,-0.06
205,1.05
206,0.75
207,0.43
208,-0.13
209,-0.23
210,-0.15
211,0.5
212,0.29
213,0.22
214,0.35
215,-0.07
216,-0.03
217,1.44
218,1.21
219,1
220,0.54
221,0.75
222,0.29
223,0.39
224,0.29
225,0.48
226,-0.01
227,0.93
228,0.14
229,0.06
230,0.19
231,-0.03
232,0.43
233,-0.08
234,0.09
235,-0.2
236,-0.7
237,-0.52
238,-0.22
239,-0.32
240,0.54
241,-0.49
242,-0.29
243,0.16
244,-0.34
245,-0.52
246,-0.53
247,-0.37
248,-0.43
249,-0.24
250,-0.13
251,-0.47
252,0.15
253,0.08
254,0.03
255,-0.45
256,-0.21
257,0.47
258,0.38
259,-0.06
260,-0.05
261,-0.15
262,-0.05
263,0.41
264,0.37
265,-0.07
266,0.04
267,0.46
268,0.17
269,0.53
270,0.52
271,0.28
272,0.68
273,1.02
274,0.27
275,0.61
276,0.46
277,0.39
278,0.64
279,0.37
280,0.18
281,-0.1
282,0.32
283,-0.29
284,0.02
285,0.64
286,-0.01
287,-0.21
288,-0.01
289,-0.58
290,0.01
291,-0.01
292,-0.03
293,-0.09
294,-0.03
295,-0.52
296,-0.24
297,-0.35
298,-0.48
299,-0.47
300,-0.66
301,-0.57
302,-0.59
303,-0.72
304,-0.81
305,-0.63
306,-0.38
307,-0.45
308,-0.51
309,-0.41
310,-0.83
311,0.62
312,-0.59
313,-0.71
314,-0.79
315,-0.9
316,0.09
317,-0.4
318,-0.55
319,-0.28
320,0.27
321,-0.16
322,0.11
323,-0.1
324,0.07
325,-0.4
326,0.23
327,-0.02
328,-0.36
329,0.66
330,-0.12
331,1.68
332,0.02
333,0.97
334,0.35
335,2.99
336,2.89
337,1.34
338,1.27
339,2.37
340,1.88
341,3.22
342,1.9
343,2.67
344,1.48
345,1.53
346,2.31
347,1.48
348,1.83
349,1.03
350,0.95
351,0.39
352,0.3
353,0.46
354,0.35
355,0.92
356,0.31
357,-0.2
358,0.54
359,1.42
360,1.37
361,2.41
362,2.62
363,1
364,1.07
365,0.79
366,1.09
367,1.32
368,2.08
369,2.21
370,1.07
371,1.38
372,1.93
373,1.32
374,0.58
375,0.39
376,0.25
377,0.23
378,-0.03
379,0.22
380,0.68
381,-0.16
382,-0.07
383,0.4
384,1.17
385,0.6
386,0.78
387,1.55
388,0.71
389,2.16
390,1.65
391,1.33
392,0.97
393,1.16
394,0.48
395,0.78
396,0.68
397,0.58
398,0.45
399,0.7
400,0.65
401,1.07
402,0.61
403,0.69
404,0.85
405,0.78
406,1.48
407,2.75
408,1.2
409,0.35
410,1.32
411,1.07
412,1.41
413,1.07
414,0.44
415,1.06
416,1.53
417,0.86
418,1.04
419,0.58
420,1.27
421,0.92
422,0.7
423,1.09
424,0.93
425,1
426,1.3
427,0.72
428,0.93
429,0.95
430,0.84
431,0.83
432,-0.08
433,0.61
434,0.59
435,0.43
436,0.9
437,0.59
438,0.48
439,0.84
440,1.06
441,1.15
442,0.7
443,1.53
444,0.92
445,1.78
446,1.26
447,1.57
448,1.64
449,1.43
450,1.12
451,1.56
452,1.88
453,1.4
454,0.69
455,0.8
456,0.83
457,0.95
458,0.34
459,0.38
460,0.58
461,0.77
462,0.62
463,0.48
464,0.9
465,0.32
466,0.93
467,0.59
468,0.53
469,0.76
470,1.43
471,1.19
472,0.92
473,1.28
474,0.66
475,0.58
476,0.25
477,0.43
478,0.25
479,-0.15
480,0.49
481,0.33
482,0.56
483,0.94
484,0.82
485,1.15
486,-0.07
487,1.34
488,0.64
489,0.73
490,1.1
491,0.55
492,0.12
493,0.29
494,0.32
495,0.14
496,0.77
497,0.97
498,1.84
499,1.2
500,0.78
501,-0.07
502,1.08
503,0.63
504,0.46
505,0.25
506,0.49
507,0.55
508,0.33
509,0.11
510,0.27
511,-0.05
512,0.82
513,-0.43
514,0.17
515,1.03
516,0.22
517,-0.65
518,-0.16
519,-0.43
520,-0.05
521,-0.54
522,0.44
523,0.38
524,0
525,-0.16
526,-0.59
527,-0.26
528,-0.27
529,-0.37
530,-0.36
531,-0.42
532,-0.63
533,-0.5
534,-0.14
535,-0.58
536,-0.38
537,-0.56
538,-0.57
539,-0.06
540,-0.37
541,-0.58
542,-0.76
543,-0.8
544,-0.59
545,-0.26
546,-0.3
547,-0.49
548,-0.32
549,-0.39
550,-0.28
551,-0.25
552,-0.62
553,-0.2
554,-0.07
555,-0.43
556,-0.37
557,-0.54
558,-0.87
559,-0.58
560,-0.76
561,-0.63
562,-0.49
563,-0.9
564,-0.86
565,-0.62
566,-0.35
567,-0.38
568,-0.63
569,-0.7
570,-0.4
571,-0.52
572,-0.54
573,-0.33
574,-0.61
575,-0.62
576,-0.86
577,-0.9
578,-0.73
579,-0.9
580,-0.56
581,-0.45
582,-0.39
583,-0.36
584,-0.49
585,-0.38
586,-0.3
587,-0.24
588,-0.68
589,-0.46
590,-0.56
591,-0.16
592,-0.13
593,-0.16
594,-0.6
595,-0.7
596,-0.83
597,-0.47
598,-0.26
599,-0.48
600,-0.62
601,-1.08
602,-0.99
603,-0.49
604,-0.41
605,-0.43
606,-0.52
607,-0.4
608,0.01
609,-0.21
610,-0.48
611,-0.3
612,-0.66
613,-0.59
614,-0.49
615,-0.89
616,-1
617,-0.7
618,-0.67
619,-0.81
620,-0.97
621,-1.1
622,-1.03
623,-1.13
624,-1.11
625,-1.14
626,-0.92
627,-1.03
628,-0.92
629,-0.79
630,-0.97
631,-1.06
632,-1.09
633,-1.15
634,-1.12
635,-1.26
636,-1.15
637,-1.09
638,-1.12
639,-1.17
640,-1.29
641,-1.17
642,-1.03
643,-1.16
644,-1.06
645,-1.06
646,-1.07
647,-1.1
648,-1.2
649,-1.05
650,-1.17
651,-1.12
652,-1
653,-0.99
654,-1.05
655,-1.06
656,-1.12
657,-0.9
658,-0.99
659,-1.24
