,Depth,Median_Age,L95,U95,Mean,SD,Sample_Size
1,2,-36,-66,0,5.301048359,3.176459053,32
2,3,-19,-65,35,5.442465813,2.770899007,25
3,4,-2,-63,69,4.068176364,2.743967286,44
4,8,65,-56,208,2.529059169,1.94267943,36
5,16,207,31,353,5.244629406,2.91155514,36
6,18,257,53,393,5.967982122,3.082830366,39
7,19,279,62,421,3.735874089,2.277604817,22
8,20,295,70,458,8.787954265,2.410466421,40
9,22,326,133,473,4.467619712,1.906861858,43
10,24,354,187,487,6.31826592,2.177177755,56
11,25,371,213,497,4.241615354,1.8503843,21
12,26,388,238,508,6.61230041,2.410573637,74
13,28,430,278,535,6.749355164,2.358997524,65
14,29,449,291,558,4.680147534,1.805445876,22
15,30,468,306,582,5.168702302,3.133404774,39
16,31,479,332,585,4.364170861,1.667253957,23
17,32,490,362,589,5.194413079,2.396836759,63
18,34,511,424,597,7.991003201,2.673796044,33
19,36,534,478,610,6.329470145,2.73633601,42
20,38,559,506,624,7.999584096,2.046173212,30
21,42,601,541,652,5.895794494,2.812703706,21
22,44,619,554,659,6.969544067,2.646709309,24
23,46,637,565,667,7.189979116,3.041916373,28
24,50,666,579,721,7.020339287,1.931466318,35
25,52,681,610,730,8.559722552,1.65614678,24
26,54,697,636,744,6.457564767,2.508384502,31
27,56,714,657,762,7.605384083,1.734408578,23
28,58,732,675,785,8.041088993,1.815872377,22
29,60,749,683,814,6.972640867,1.80410853,27
30,62,757,692,822,6.436433382,2.31834154,25
31,66,772,701,843,6.392095653,2.765488979,26
32,70,787,708,876,8.428079375,1.869227423,24
33,72,795,718,881,7.363466263,3.043896512,23
34,74,804,727,888,8.095380383,2.503927654,26
35,76,814,734,897,7.151877618,2.625756305,27
36,78,823,741,908,7.980268017,2.541531852,27
37,80,831,745,920,8.259667778,1.652793532,25
38,82,839,757,926,7.527115179,2.052382191,32
39,84,847,765,933,5.801141144,3.302274506,26
40,86,856,774,942,5.505802514,2.856808111,27
41,88,864,780,951,6.205235778,2.782046631,31
42,90,872,785,962,6.124927769,1.869154651,36
43,94,891,808,978,4.561580427,2.316668649,35
44,96,900,814,990,6.563701923,3.109426359,27
45,98,908,821,1001,7.057122765,2.822799445,27
46,100,917,825,1012,6.743339502,2.72987143,30
47,102,929,841,1025,6.421428208,2.97364029,28
48,104,940,853,1038,6.559960959,2.892440835,32
49,106,952,861,1060,7.18591193,2.943584697,36
50,108,964,866,1079,6.954798949,3.454197936,33
51,110,975,872,1110,7.485916665,2.740904722,25
52,112,987,888,1117,6.157142214,2.348650025,32
53,114,1000,900,1126,6.496013606,2.126747995,33
54,116,1013,910,1138,7.086032771,2.596767779,27
55,118,1026,921,1152,7.52447795,3.246117937,34
56,120,1039,928,1168,8.146857038,2.071492517,41
57,122,1051,950,1180,7.712049245,2.179481171,34
58,124,1066,964,1191,5.769050448,2.337207976,31
59,126,1081,974,1205,8.159302291,1.945846234,35
60,130,1109,989,1235,7.526859917,1.679725325,29
61,132,1127,1012,1249,5.560258715,3.184458645,24
62,134,1147,1025,1266,8.12988124,2.172500457,29
63,136,1165,1035,1286,5.892482591,2.023564852,23
64,144,1236,1099,1373,6.641946828,2.000949499,33
65,146,1255,1115,1387,4.853118715,2.126345553,29
66,152,1312,1170,1447,4.68911053,1.669703584,35
67,156,1351,1213,1468,4.614427377,1.570556632,29
68,160,1391,1239,1502,7.095651742,2.65486304,22
69,164,1429,1331,1521,7.53661948,2.399297607,29
70,166,1451,1362,1533,6.364966999,2.28976644,29
71,172,1512,1412,1612,5.705607671,2.185271875,26
72,174,1532,1425,1634,7.154825964,3.451154573,32
73,176,1553,1434,1664,5.432111882,2.566857134,37
74,178,1572,1443,1702,6.66980641,2.996404129,25
75,180,1589,1450,1739,7.81072453,2.663449113,25
76,182,1612,1483,1750,7.545283996,2.172046214,25
77,184,1633,1505,1765,7.120548499,2.865709304,23
78,186,1656,1523,1783,7.711121576,2.209842588,28
79,188,1680,1538,1807,7.53369485,1.734524389,27
80,190,1700,1550,1839,6.205279288,2.750709169,28
81,192,1719,1592,1847,8.662046059,1.302871806,33
82,194,1737,1628,1857,6.665130277,2.769604345,25
83,196,1757,1663,1868,7.090292734,2.989337009,29
84,198,1777,1691,1891,7.354394973,2.322766828,29
85,200,1798,1709,1920,8.682490056,3.092976341,30
86,202,1818,1726,1936,8.305943884,1.543023992,26
87,204,1839,1739,1959,7.071067615,2.776903817,26
88,206,1860,1748,1992,7.67797561,2.480386022,40
89,208,1878,1756,2034,8.575558316,1.965322194,38
90,210,1896,1763,2081,7.985255434,2.130014448,26
91,212,1918,1787,2091,6.617034617,2.61271605,31
92,214,1941,1804,2108,8.296985029,2.169797962,29
93,218,1985,1827,2154,6.088316004,2.62497503,23
94,222,2029,1867,2199,5.60694819,2.642462963,26
95,226,2074,1910,2221,7.601182009,2.790841529,30
96,228,2095,1924,2240,6.328400958,3.222860255,31
97,230,2117,1934,2268,6.841077334,2.530460075,28
98,232,2135,1979,2273,5.713734326,2.841927498,28
99,238,2201,2064,2306,5.701572441,2.889897375,31
100,242,2241,2102,2352,5.37342262,2.808178142,29
101,248,2294,2143,2443,5.780722838,1.90175702,30
102,250,2311,2149,2483,5.83125719,2.446440194,23
103,260,2406,2224,2587,7.220741971,3.074437706,23
104,262,2426,2251,2598,7.242431862,2.329348331,22
105,264,2446,2273,2611,7.576360092,1.871747473,25
106,266,2467,2290,2624,6.169540837,2.824546692,28
107,270,2508,2313,2670,7.391900725,2.587688069,22
108,272,2528,2347,2676,8.105476375,2.651312814,31
109,274,2548,2377,2684,5.794491299,2.21031622,23
110,278,2589,2414,2707,8.471240456,1.370096296,22
111,306,2881,2695,3059,6.768044662,2.071221937,27
112,332,3245,3043,3492,7.599700077,2.894311938,24
113,340,3408,3141,3668,7.922910124,2.614207748,24
114,342,3445,3219,3687,7.042687482,2.539628114,28
115,344,3479,3296,3713,7.374129564,2.360224595,34
116,352,3930,3760,4115,7.387834886,1.992842091,23
