"","yearBP","vssi","Century","vssi_agg"
"1",0,0,-11450,124.44
"2",-58,4.44,-11350,93.05
"3",-64,1.04,-11250,239.38
"4",-66,9.09,-11150,96.28
"5",-74,0.28,-11050,187.01
"6",-87,5.74,-10950,39.68
"7",-89,0.24,-10850,48.71
"8",-95,2.26,-10750,40.11
"9",-106,1.45,-10650,68.98
"10",-115,5.6,-10550,80.32
"11",-119,17.75,-10450,122.27
"12",-128,1.22,-10350,62.4
"13",-135,36.95,-10250,191.95
"14",-141,17.05,-10150,132.57
"15",-155,1.06,-10050,98.98
"16",-167,11.07,-9950,70.13
"17",-183,2.63,-9850,101.67
"18",-188,5.45,-9750,71.59
"19",-196,1.74,-9650,30.76
"20",-211,3.81,-9550,64.81
"21",-221,4.27,-9450,66.47
"22",-231,1.02,-9350,51.69
"23",-248,1.15,-9250,52.09
"24",-256,18.07,-9150,80.64
"25",-277,5.78,-9050,48.94
"26",-284,4.03,-8950,50.95
"27",-289,4.62,-8850,68.11
"28",-304,1.68,-8750,43.71
"29",-309,22.05,-8650,210.27
"30",-316,1.87,-8550,33.96
"31",-329,1.8,-8450,193.94
"32",-350,16.94,-8350,74.51
"33",-356,9.62,-8250,112.16
"34",-359,0.43,-8150,42.81
"35",-364,10.9,-8050,58.67
"36",-373,0.25,-7950,44.67
"37",-382,2.13,-7850,53.79
"38",-391,0.22,-7750,46.16
"39",-395,0.23,-7650,200.19
"40",-410,2.42,-7550,91.56
"41",-423,0.95,-7450,41.1
"42",-438,2.99,-7350,42.61
"43",-445,0.82,-7250,214.81
"44",-455,1.02,-7150,38.56
"45",-460,0.83,-7050,21.46
"46",-470,4.27,-6950,58.17
"47",-473,2.02,-6850,33.43
"48",-473,5.38,-6750,41.91
"49",-480,1.74,-6650,79.07
"50",-492,37.49,-6550,152.37
"51",-497,10.77,-6450,50.42
"52",-503,0.44,-6350,175.7
"53",-522,0.65,-6250,33.03
"54",-532,0.98,-6150,27.51
"55",-536,0.4,-6050,21.64
"56",-560,0.56,-5950,95.83
"57",-565,2.67,-5850,55.21
"58",-569,0.25,-5750,28.52
"59",-572,2.72,-5650,41.95
"60",-606,14.32,-5550,11.89
"61",-608,1.8,-5450,59.52
"62",-614,0.29,-5350,18.74
"63",-620,9.61,-5250,24.12
"64",-660,1.34,-5150,94.48
"65",-666,14.42,-5050,46.02
"66",-674,10.67,-4950,4.54
"67",-681,6.54,-4850,85.94
"68",-685,1.04,-4750,15.02
"69",-692,75.31,-4650,36.14
"70",-709,0.58,-4550,35.31
"71",-716,0.21,-4450,32.36
"72",-721,30.4,-4350,26.59
"73",-723,0.24,-4250,36.07
"74",-736,0.97,-4150,23.82
"75",-741,4.28,-4050,21.95
"76",-745,1,-3950,32.07
