Median,depth,L95,U95
-70,0,-73,-67
-62,0.5,-70,-52
-53,1,-68,-35
-45,1.5,-67,-18
-36,2,-66,0
-28,2.5,-66,17
-19,3,-65,35
-11,3.5,-64,52
-2,4,-63,69
6,4.5,-62,86
14,5,-61,104
23,5.5,-60,121
31,6,-59,139
40,6.5,-58,156
48,7,-57,174
57,7.5,-56,191
65,8,-56,208
74,8.5,-55,226
82,9,-54,243
91,9.5,-53,260
99,10,-52,278
106,10.5,-36,283
114,11,-26,288
121,11.5,-19,292
129,12,-9,298
137,12.5,-2,303
145,13,5,309
157,13.5,9,316
167,14,15,323
177,14.5,19,331
187,15,20,337
197,15.5,27,345
207,16,31,353
220,16.5,35,362
232,17,40,371
245,17.5,46,381
257,18,53,393
269,18.5,57,406
279,19,62,421
287,19.5,67,438
295,20,70,458
303,20.5,86,461
311,21,102,465
318,21.5,118,468
326,22,133,473
333,22.5,146,476
340,23,156,481
347,23.5,172,484
354,24,187,487
362,24.5,199,491
371,25,213,497
379,25.5,226,503
388,26,238,508
399,26.5,248,514
409,27,261,520
420,27.5,270,526
430,28,278,535
439,28.5,284,546
449,29,291,558
459,29.5,298,569
468,30,306,582
474,30.5,318,584
479,31,332,585
485,31.5,346,587
490,32,362,589
496,32.5,377,591
501,33,395,593
506,33.5,411,595
511,34,424,597
517,34.5,438,600
522,35,454,603
528,35.5,464,606
534,36,478,610
540,36.5,486,613
547,37,493,616
553,37.5,502,620
559,38,506,624
565,38.5,512,627
571,39,513,633
578,39.5,516,639
584,40,519,649
588,40.5,526,650
592,41,532,650
597,41.5,536,652
601,42,541,652
606,42.5,545,654
610,43,549,656
615,43.5,551,657
619,44,554,659
624,44.5,558,660
629,45,560,662
633,45.5,562,664
637,46,565,667
641,46.5,568,672
645,47,570,677
649,47.5,572,683
652,48,573,690
655,48.5,575,698
659,49,576,706
662,49.5,578,713
666,50,579,721
670,50.5,587,723
673,51,595,726
677,51.5,603,728
681,52,610,730
685,52.5,616,733
689,53,624,736
693,53.5,630,739
697,54,636,744
701,54.5,641,748
705,55,646,751
710,55.5,651,756
714,56,657,762
719,56.5,662,767
723,57,667,773
727,57.5,671,778
732,58,675,785
736,58.5,677,792
740,59,679,799
745,59.5,681,806
749,60,683,814
751,60.5,686,817
753,61,688,818
755,61.5,690,820
757,62,692,822
759,62.5,694,824
761,63,695,826
762,63.5,696,828
765,64,697,831
766,64.5,698,834
768,65,699,837
770,65.5,701,840
772,66,701,843
774,66.5,702,847
776,67,703,850
778,67.5,704,854
779,68,705,858
781,68.5,706,862
783,69,706,866
785,69.5,707,871
787,70,708,876
789,70.5,711,877
791,71,714,879
794,71.5,716,879
795,72,718,881
798,72.5,721,883
800,73,723,885
802,73.5,725,887
804,74,727,888
807,74.5,729,890
809,75,731,892
812,75.5,733,895
814,76,734,897
816,76.5,736,900
818,77,738,902
820,77.5,739,905
823,78,741,908
824,78.5,742,911
827,79,742,913
829,79.5,744,918
831,80,745,920
833,80.5,748,922
835,81,751,923
837,81.5,754,926
839,82,757,926
841,82.5,758,928
843,83,761,929
845,83.5,763,931
847,84,765,933
849,84.5,768,935
851,85,769,938
854,85.5,772,940
856,86,774,942
858,86.5,775,944
860,87,777,946
862,87.5,779,948
864,88,780,951
866,88.5,782,955
868,89,783,957
870,89.5,784,960
872,90,785,962
874,90.5,788,964
877,91,791,965
879,91.5,795,967
882,92,797,969
884,92.5,800,972
886,93,803,974
888,93.5,805,975
891,94,808,978
893,94.5,809,982
895,95,811,983
897,95.5,813,985
900,96,814,990
902,96.5,816,993
904,97,817,997
906,97.5,818,999
908,98,821,1001
911,98.5,822,1005
913,99,823,1007
915,99.5,824,1009
917,100,825,1012
920,100.5,830,1016
923,101,835,1020
926,101.5,839,1023
929,102,841,1025
931,102.5,845,1027
934,103,847,1031
937,103.5,850,1035
940,104,853,1038
943,104.5,855,1044
946,105,857,1048
949,105.5,859,1054
952,106,861,1060
955,106.5,862,1064
958,107,863,1069
961,107.5,865,1075
964,108,866,1079
967,108.5,868,1087
970,109,868,1094
972,109.5,871,1101
975,110,872,1110
978,110.5,876,1112
981,111,881,1113
984,111.5,885,1115
987,112,888,1117
990,112.5,892,1119
994,113,895,1122
997,113.5,898,1124
1000,114,900,1126
1003,114.5,902,1129
1007,115,905,1132
1010,115.5,907,1134
1013,116,910,1138
1016,116.5,913,1140
1020,117,916,1143
1023,117.5,919,1147
1026,118,921,1152
1029,118.5,922,1155
1033,119,924,1159
1036,119.5,926,1164
1039,120,928,1168
1042,120.5,934,1171
1045,121,939,1174
1048,121.5,944,1177
1051,122,950,1180
1055,122.5,955,1183
1059,123,958,1185
1062,123.5,961,1188
1066,124,964,1191
1070,124.5,967,1193
1074,125,969,1197
1078,125.5,970,1201
1081,126,974,1205
1085,126.5,976,1207
1089,127,977,1211
1092,127.5,980,1214
1096,128,982,1220
1099,128.5,984,1223
1102,129,986,1227
1106,129.5,987,1231
1109,130,989,1235
1114,130.5,997,1239
1118,131,1002,1242
1123,131.5,1007,1245
1127,132,1012,1249
1132,132.5,1015,1252
1137,133,1019,1256
1142,133.5,1022,1261
1147,134,1025,1266
1152,134.5,1028,1269
1156,135,1031,1274
1160,135.5,1033,1281
1165,136,1035,1286
1169,136.5,1037,1293
1172,137,1038,1299
1176,137.5,1041,1307
1180,138,1045,1315
1184,138.5,1048,1323
1187,139,1050,1332
1191,139.5,1051,1340
1195,140,1052,1350
1200,140.5,1059,1354
1205,141,1067,1356
1210,141.5,1074,1359
1216,142,1080,1363
1220,142.5,1087,1365
1225,143,1092,1367
1231,143.5,1095,1370
1236,144,1099,1373
1241,144.5,1103,1377
1246,145,1106,1381
1250,145.5,1111,1385
1255,146,1115,1387
1260,146.5,1118,1391
1265,147,1122,1398
1270,147.5,1124,1403
1275,148,1126,1410
1280,148.5,1130,1417
1285,149,1133,1424
1289,149.5,1136,1431
1294,150,1139,1438
1298,150.5,1149,1441
1302,151,1157,1443
1307,151.5,1163,1445
1312,152,1170,1447
1316,152.5,1175,1450
1321,153,1182,1451
1326,153.5,1189,1453
