"","Type","Flora","Batch"
"1","HM20","A",0.5
"2","HM20","A",0.5
"3","HM20","A",0.5
"4","HM20","A",0.5
"5","HM20","A",0.5
"7","HM20","A",0.5
"8","HM20","A",0.5
"9","HM20","A",0.5
"12","HM20","A",0.5
"13","HM20","A",0.5
"14","HM20","A",0.5
"16","HM20","A",0.5
"17","HM20","A",0.5
"18","HM20","A",0.5
"19","HM20","A",0.5
"20","HM20","A",0.5
"21","HM20","A",0.5
"22","HM20","A",0.5
"23","HM20","A",0.5
"24","HM20","A",0.5
"25","HM20","A",0.5
"51","HM20","A",1
"52","HM20","A",1
"53","HM20","A",1
"54","HM20","A",1
"55","HM20","A",1
"56","HM20","A",1
"57","HM20","A",1
"58","HM20","A",1
"59","HM20","A",1
"60","HM20","A",1
"61","HM20","A",1
"62","HM20","A",1
"63","HM20","A",1
"64","HM20","A",1
"65","HM20","A",1
"66","HM20","A",1
"67","HM20","A",1
"68","HM20","A",1
"69","HM20","A",1
"70","HM20","A",1
"26","HM20","A",1.5
"27","HM20","A",1.5
"28","HM20","A",1.5
"29","HM20","A",1.5
"30","HM20","A",1.5
"31","HM20","A",1.5
"32","HM20","A",1.5
"33","HM20","A",1.5
"34","HM20","A",1.5
"35","HM20","A",1.5
"36","HM20","A",1.5
"37","HM20","A",1.5
"38","HM20","A",1.5
"40","HM20","A",1.5
"41","HM20","A",1.5
"42","HM20","A",1.5
"44","HM20","A",1.5
"45","HM20","A",1.5
"46","HM20","A",1.5
"47","HM20","A",1.5
"48","HM20","A",1.5
"49","HM20","A",1.5
"50","HM20","A",1.5
"208","HM20","A",2
"210","HM20","A",2
"211","HM20","A",2
"212","HM20","A",2
"213","HM20","A",2
"214","HM20","A",2
"215","HM20","A",2
"216","HM20","A",2
"217","HM20","A",2
"218","HM20","A",2
"220","HM20","A",2
"221","HM20","A",2
"222","HM20","A",2
"223","HM20","A",2
"224","HM20","A",2
"225","HM20","A",2
"226","HM20","A",2
"227","HM20","A",2
"186","HM20","A",2.5
"187","HM20","A",2.5
"188","HM20","A",2.5
"189","HM20","A",2.5
"190","HM20","A",2.5
"191","HM20","A",2.5
"192","HM20","A",2.5
