"","Type","Flora","Batch"
"1","HM20","C",0.5
"2","HM20","C",0.5
"3","HM20","C",0.5
"4","HM20","C",0.5
"5","HM20","C",0.5
"6","HM20","C",0.5
"7","HM20","C",0.5
"8","HM20","C",0.5
"9","HM20","C",0.5
"10","HM20","C",0.5
"11","HM20","C",0.5
"12","HM20","C",0.5
"13","HM20","C",0.5
"14","HM20","C",0.5
"15","HM20","C",0.5
"16","HM20","C",0.5
"42","HM20","C",1
"43","HM20","C",1
"44","HM20","C",1
"45","HM20","C",1
"46","HM20","C",1
"47","HM20","C",1
"48","HM20","C",1
"49","HM20","C",1
"50","HM20","C",1
"52","HM20","C",1
"53","HM20","C",1
"54","HM20","C",1
"55","HM20","C",1
"56","HM20","C",1
"57","HM20","C",1
"58","HM20","C",1
"59","HM20","C",1
"60","HM20","C",1
"61","HM20","C",1
"17","HM20","C",1.5
"18","HM20","C",1.5
"19","HM20","C",1.5
"20","HM20","C",1.5
"21","HM20","C",1.5
"22","HM20","C",1.5
"23","HM20","C",1.5
"24","HM20","C",1.5
"25","HM20","C",1.5
"26","HM20","C",1.5
"27","HM20","C",1.5
"28","HM20","C",1.5
"29","HM20","C",1.5
"30","HM20","C",1.5
"31","HM20","C",1.5
"32","HM20","C",1.5
"33","HM20","C",1.5
"34","HM20","C",1.5
"35","HM20","C",1.5
"36","HM20","C",1.5
"37","HM20","C",1.5
"38","HM20","C",1.5
"39","HM20","C",1.5
"40","HM20","C",1.5
"41","HM20","C",1.5
"394","HM20","C",2
"395","HM20","C",2
"396","HM20","C",2
"397","HM20","C",2
"398","HM20","C",2
"399","HM20","C",2
"400","HM20","C",2
"401","HM20","C",2
"402","HM20","C",2
"403","HM20","C",2
"405","HM20","C",2
"406","HM20","C",2
"407","HM20","C",2
"408","HM20","C",2
"409","HM20","C",2
"410","HM20","C",2
"411","HM20","C",2
"412","HM20","C",2
"413","HM20","C",2
"369","HM20","C",2.5
"370","HM20","C",2.5
"371","HM20","C",2.5
"372","HM20","C",2.5
"373","HM20","C",2.5
"374","HM20","C",2.5
"375","HM20","C",2.5
"379","HM20","C",2.5
"380","HM20","C",2.5
"381","HM20","C",2.5
