"","Type","Flora","Batch"
"1","HM20","S",0.5
"3","HM20","S",0.5
"5","HM20","S",0.5
"6","HM20","S",0.5
"7","HM20","S",0.5
"8","HM20","S",0.5
"34","HM20","S",1
"36","HM20","S",1
"37","HM20","S",1
"38","HM20","S",1
"39","HM20","S",1
"40","HM20","S",1
"41","HM20","S",1
"42","HM20","S",1
"43","HM20","S",1
"44","HM20","S",1
"45","HM20","S",1
"46","HM20","S",1
"47","HM20","S",1
"48","HM20","S",1
"49","HM20","S",1
"50","HM20","S",1
"51","HM20","S",1
"52","HM20","S",1
"53","HM20","S",1
"9","HM20","S",1.5
"10","HM20","S",1.5
"11","HM20","S",1.5
"12","HM20","S",1.5
"13","HM20","S",1.5
"14","HM20","S",1.5
"15","HM20","S",1.5
"16","HM20","S",1.5
"17","HM20","S",1.5
"18","HM20","S",1.5
"19","HM20","S",1.5
"20","HM20","S",1.5
"21","HM20","S",1.5
"22","HM20","S",1.5
"23","HM20","S",1.5
"24","HM20","S",1.5
"25","HM20","S",1.5
"26","HM20","S",1.5
"27","HM20","S",1.5
"28","HM20","S",1.5
"29","HM20","S",1.5
"30","HM20","S",1.5
"32","HM20","S",1.5
"33","HM20","S",1.5
"402","HM20","S",2
"403","HM20","S",2
"404","HM20","S",2
"405","HM20","S",2
"406","HM20","S",2
"407","HM20","S",2
"408","HM20","S",2
"409","HM20","S",2
"410","HM20","S",2
"411","HM20","S",2
"412","HM20","S",2
"413","HM20","S",2
"414","HM20","S",2
"415","HM20","S",2
"416","HM20","S",2
"417","HM20","S",2
"418","HM20","S",2
"419","HM20","S",2
"420","HM20","S",2
"421","HM20","S",2
"422","HM20","S",2
"423","HM20","S",2
"424","HM20","S",2
"382","HM20","S",2.5
"384","HM20","S",2.5
"385","HM20","S",2.5
"386","HM20","S",2.5
"387","HM20","S",2.5
"388","HM20","S",2.5
"389","HM20","S",2.5
"390","HM20","S",2.5
"392","HM20","S",2.5
"393","HM20","S",2.5
"394","HM20","S",2.5
"396","HM20","S",2.5
"397","HM20","S",2.5
"398","HM20","S",2.5
"399","HM20","S",2.5
"400","HM20","S",2.5
"401","HM20","S",2.5
"442","HM20","S",3
"443","HM20","S",3
"444","HM20","S",3
"445","HM20","S",3
"446","HM20","S",3
"447","HM20","S",3
"448","HM20","S",3
