"","Taxa","Level","Lower_r","Upper_r"
"1","Sphagnum","99%","-0.604851711335078","0.59898539746925"
"2","Sphagnum","95%","-0.479483528621749","0.481363510197616"
"3","Sphagnum","90%","-0.414490088763092","0.410727376715959"
"4","Sphagnum","80%","-0.326810187688963","0.328496282155666"
"5","Alnus","99%","-0.522822366993748","0.544312990940736"
"6","Alnus","95%","-0.42229114324883","0.432788099480571"
"7","Alnus","90%","-0.36512389952313","0.370762997156216"
"8","Alnus","80%","-0.298688866336604","0.292733847127755"
"9","Calluna","99%","-0.572190455872138","0.585192510040555"
"10","Calluna","95%","-0.455197433356077","0.468030304003463"
"11","Calluna","90%","-0.388951042225927","0.407657348322179"
"12","Calluna","80%","-0.311997722949087","0.320258729781617"
